City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1183,Jvari,GE,75.58,broken clouds,42.7169,42.052,Savanna House
1186,George Town,MY,87.89,thunderstorm,5.4112,100.3354,Cititel Penang
1187,Garissa,KE,87.44,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
1193,Crema,IT,84.02,clear sky,45.3588,9.6683,Park Hotel Residence
1196,Sosua,DO,75.18,few clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
1197,Loubomo,CG,79.63,overcast clouds,-4.1997,12.6739,La Dolisienne
1202,Mizdah,LY,80.06,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
1208,Zharkent,KZ,82.45,overcast clouds,44.1628,80.0,гостиница Satti
1210,Aljezur,PT,76.17,overcast clouds,37.3191,-8.8033,Amazigh Hostel
1212,Georgiyevka,KZ,89.64,clear sky,43.0369,74.7114,Gostinitsa Imperiya
1214,Beboto,TD,84.97,overcast clouds,8.2668,16.939,
1216,Watsa,CD,77.36,light rain,3.0372,29.5355,Hôtel Le Pacifique
1217,Catio,GW,80.71,light rain,11.2833,-15.25,Pausada Morabedja
1225,Gautier,US,80.69,clear sky,30.3858,-88.6117,Magnolia Inn of Gautier
1226,Batticaloa,LK,88.29,overcast clouds,7.7102,81.6924,Grand Star Guest House
1227,Nargana,PA,76.77,overcast clouds,9.4428,-78.5906,Dubbir
1228,Mayumba,GA,77.65,overcast clouds,-3.432,10.6554,LIKWALE LODGE
1231,Lumberton,US,79.11,overcast clouds,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
1234,Lardos,GR,80.42,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
1235,Rey Bouba,CM,89.49,overcast clouds,8.6724,14.1786,
1248,Labelle,US,80.65,clear sky,26.7617,-81.4384,Port LaBelle Inn
1250,Samana,DO,75.61,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
1251,Podgornoye,RU,79.02,clear sky,51.735,39.1496,"O 'Hara's Irish Pub, restaurant, hotel"
1253,Maputo,MZ,76.23,clear sky,-25.9653,32.5892,Pestana Rovuma
1256,Kribi,CM,79.47,light rain,2.95,9.9167,Hotel Tara Plage
1257,Xacmaz,AZ,81.9,clear sky,41.4635,48.806,Ulduz Hotel
1258,Loandjili,CG,78.91,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
1261,Mouzouras,GR,80.6,few clouds,35.5333,24.15,Areti Suites
1267,Limulunga,ZM,75.43,clear sky,-15.0969,23.1376,Acamms Gardens
1268,Yenagoa,NG,82.26,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
1269,Tashtyp,RU,83.75,overcast clouds,52.7939,89.8983,Oblachnyye Glubiny Orden Gusu Lan'
1271,Vermilion,US,81.55,clear sky,40.1667,-87.7506,Sparkling Springs Cabin
1272,Diapaga,BF,86.63,overcast clouds,12.0708,1.7889,
1278,Tokmak,UA,85.75,clear sky,47.2514,35.7058,Дом приезжих
1286,Ocsod,HU,75.99,broken clouds,46.9,20.4,Szakács Alíz nyaralója
1287,Ozinki,RU,75.24,clear sky,51.1786,49.6769,Korolevskiy Dvor
1292,Socorro,US,85.91,broken clouds,31.6546,-106.3033,guarderia imss papalote
1294,Timiryazevskiy,RU,85.15,light rain,56.49,84.8769,Kovcheg
1295,Tete,MZ,82.02,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
1297,Reggio Di Calabria,IT,82.98,few clouds,38.1105,15.6613,Hotel Continental
1300,Somanda,TZ,78.84,broken clouds,-3.3667,33.95,
1308,Masingbi,SL,75.88,light rain,8.7833,-11.95,
1311,Taylorville,US,80.78,clear sky,39.5489,-89.2945,Economy Inn
1313,Villa Rica,US,77.79,clear sky,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
1316,Parabel,RU,75.78,scattered clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
1317,Safranbolu,TR,78.17,broken clouds,41.2508,32.6942,GuleviSafranbolu Hotel
1319,Tignere,CM,76.19,overcast clouds,7.3667,12.65,SADECK
1321,Cabinda,AO,78.91,overcast clouds,-5.55,12.2,Hotel Maiombe
1323,Marmaris,TR,80.55,clear sky,36.855,28.2742,BLUE BAY PLATINUM HOTEL
1324,Greeneville,US,75.34,clear sky,36.1632,-82.831,General Morgan Inn and Conference Center
1331,Gandajika,CD,86.38,clear sky,-6.75,23.95,Hôtel Memorial
1337,Dubreka,GN,77.36,moderate rain,9.7911,-13.5233,Hôtel le Semeur Chez Eva
1339,Sao Jose Da Coroa Grande,BR,75.47,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
1342,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
1345,Ouargaye,BF,87.42,overcast clouds,11.5033,0.0572,Résidence le Cotonnier
1346,Mananara,MG,79.47,broken clouds,-16.1667,49.7667,Chez Roger
1348,Kampene,CD,86.79,few clouds,-3.6,26.6667,
1349,Kavadarci,MK,76.62,broken clouds,41.4331,22.0119,Hotel Feni
1351,Tarboro,US,79.18,clear sky,35.8968,-77.5358,SureStay Plus Hotel Tarboro by Best Western
1352,Zhezkazgan,KZ,82.38,clear sky,47.8043,67.7144,Hotel Zumrat
1353,Izyum,UA,79.63,overcast clouds,49.2088,37.2485,Hotel Terem
1354,Rudsar,IR,80.58,clear sky,37.1376,50.288,Hotel Bahar
1355,Paidha,UG,77.7,broken clouds,2.4167,30.9855,OPIPAAF (OTHUMBA PITHUA PALWONGA )
1359,Hargeysa,SO,87.31,overcast clouds,9.56,44.065,City Center Hotel
1363,Dingli,MT,82.56,clear sky,35.8614,14.3822,The Xara Palace Relais & Chateaux
1376,Nalut,LY,80.46,clear sky,30.3333,10.85,
1379,Poitiers,FR,77.79,clear sky,46.5833,0.3333,ibis Poitiers Centre
1381,Galle,LK,84.16,overcast clouds,6.0367,80.217,Amangalla
1383,Tsaratanana,MG,83.53,clear sky,-16.7833,47.65,
1396,Gombe,NG,85.91,broken clouds,10.2897,11.1673,Custodian Hotel Gombe
1401,Raga,SS,85.68,overcast clouds,8.4596,25.678,
1402,Miandrivazo,MG,86.13,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
1405,Aden,YE,89.44,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
1406,Aiken,US,82.11,clear sky,33.5835,-81.5998,Aiken Cottages
1407,Gardez,AF,82.49,clear sky,33.5974,69.2259,Gardezi Home
1408,Nyimba,ZM,77.58,clear sky,-14.5566,30.8149,Dali Dali Lodge
1409,Osypenko,UA,82.09,scattered clouds,46.9136,36.8253,
1410,Alabaster,US,78.89,mist,33.2443,-86.8164,"Candlewood Suites Alabaster, an IHG Hotel"
1413,Pozoblanco,ES,89.64,scattered clouds,38.3791,-4.8483,Hotel Nomada
1415,Ippy,CF,79.0,moderate rain,6.2679,21.2247,
1416,Morondava,MG,81.21,clear sky,-20.2833,44.2833,La Case Bambou
1424,Kermanshah,IR,86.9,clear sky,34.3142,47.065,Sina Hotel
1430,Aleksandrovka,UA,85.53,scattered clouds,46.8383,32.7612,
1432,Domoni,KM,81.57,clear sky,-12.2569,44.5319,Al Djadid
1441,Belousovka,KZ,83.25,broken clouds,50.1339,82.5239,
1444,Tripoli,LY,78.98,clear sky,32.8752,13.1875,Al Waddan Hotel
1445,French Harbor,HN,80.08,overcast clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
1447,Kasongo-Lunda,CD,87.94,broken clouds,-6.4667,16.8167,
1452,Mankono,CI,82.51,broken clouds,8.0586,-6.1897,Hôtel cotonputeur
1455,Kapasan,ID,80.29,overcast clouds,-6.7773,111.3789,Perum Perhutani Kph Mantingan
1457,Putineiu,RO,77.79,light rain,43.9,25.7333,Domeniul Cazacu
1458,Mirnyy,RU,78.24,overcast clouds,62.5353,113.9611,квартира
1460,Chepareria,KE,75.96,few clouds,1.3077,35.2039,Hamza Lodge
1463,Callaway,US,81.91,scattered clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
1464,Sivota,GR,84.02,clear sky,39.4078,20.2452,Hotel Filakas
1468,Grand-Lahou,CI,82.35,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
1469,Brive-La-Gaillarde,FR,87.84,scattered clouds,45.25,1.5,Logis Hôtel la Gamade
1474,Ndioum,SN,82.29,overcast clouds,16.5129,-14.6471,l'hôtel samassa
1477,Koygorodok,RU,75.11,broken clouds,60.445,50.9968,
1478,Punto Fijo,VE,77.85,broken clouds,11.6956,-70.1996,Santa Fe Inn Hotel
1479,Montepuez,MZ,82.78,clear sky,-13.1256,38.9997,PembaAparthotel
1481,Nalobikha,RU,77.0,overcast clouds,53.2006,84.6039,
1484,Morant Bay,JM,80.22,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
1485,Beaufort,MY,78.57,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
1487,Donskoye,RU,82.53,overcast clouds,45.4552,41.9741,
1490,Fethiye,TR,80.47,few clouds,36.6217,29.1164,Club & Hotel Letoonia
1493,Makokou,GA,79.14,overcast clouds,0.5738,12.8642,Hôtel
1495,Tarime,TZ,77.83,light rain,-1.35,34.3667,Kifa Best Point Hotel
1499,Ekibastuz,KZ,80.02,broken clouds,51.6667,75.3667,
1502,Nioro,GM,83.05,broken clouds,13.35,-15.75,
1503,Khombole,SN,77.81,broken clouds,14.7667,-16.7,Keur serigne Mansour Sy
1505,Amol,IR,83.08,clear sky,36.4696,52.3507,Shahr Hotel
1506,Inyonga,TZ,79.88,clear sky,-6.7167,32.0667,Eden Rock Lodge
1510,Nova Odesa,UA,86.43,broken clouds,47.3078,31.7851,У Саши
1511,Saurimo,AO,85.01,clear sky,-9.6608,20.3916,Hotel Kawissa Saurimo
1519,Ormara,PK,83.68,clear sky,25.2088,64.6357,Kenara Colony House for Rent
1520,Guhagar,IN,87.24,broken clouds,17.4842,73.1929,Hotel Seawinds
1521,Sehithwa,BW,77.09,clear sky,-20.4667,22.7167,MONLEK GUEST HOUSE
1522,Abaza,RU,84.09,overcast clouds,52.655,90.0928,Гостевой дом «Кедровый»
1528,Beni,CD,83.55,clear sky,0.5,29.4667,Albertine hotel
1532,Ketou,BJ,83.93,broken clouds,7.3633,2.5998,Residences Celine Hotel Ketou
1536,Ziarat,PK,82.24,clear sky,30.3823,67.7282,Pakiza Guest House ziarat
1538,Ikere,NG,83.17,overcast clouds,7.4913,5.2322,Inisa Gardens Hotel & Events Centre
1543,Lisala,CD,88.29,overcast clouds,2.15,21.5167,Guest house Eden
1559,Le Port,RE,80.6,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
1564,Mocuba,MZ,78.4,clear sky,-16.8392,36.9856,Phama Lodge
1567,Methoni,GR,86.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
1570,Chirongui,YT,85.93,clear sky,-12.9319,45.1483,La Villa Mahatsara
1572,Rute,ES,89.38,scattered clouds,37.3269,-4.3683,Casa Rural de La Hoz
1574,Reinosa,ES,83.66,broken clouds,42.9996,-4.138,Hotel Vejo
1585,Yarim,YE,79.59,broken clouds,14.298,44.3779,وليد المسوري ابو اسد
1586,Gorgan,IR,85.96,scattered clouds,36.8387,54.4348,Khayyam Motel
1587,Mende,FR,77.88,few clouds,44.6667,3.5,Le Plateau du Roy
1588,Pokoynoye,RU,87.01,broken clouds,44.8097,44.2517,
1590,Kilindoni,TZ,79.32,broken clouds,-7.9139,39.6668,Bustani B&B
1591,Katete,UG,83.16,scattered clouds,-0.7818,29.7544,
1600,Asmara,ER,80.47,broken clouds,15.3333,38.9333,Hamasien Hotel
1604,Debre Tabor,ET,75.04,overcast clouds,11.85,38.0167,Bahirdar
1614,Panjab,AF,75.13,clear sky,34.388,67.0233,
1627,Roccastrada,IT,85.55,clear sky,43.0099,11.1665,La Melosa Resort & Spa
1630,Gijon,ES,79.45,broken clouds,43.5357,-5.6615,Hotel Norte
1635,Ucar,AZ,89.78,clear sky,40.519,47.6542,Aşura market
1636,Igboho,NG,87.28,broken clouds,8.8333,3.75,More Hotet LTD
1638,Harlingen,US,82.31,few clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
1641,Kissidougou,GN,75.38,overcast clouds,9.1848,-10.0999,Hôtel Mantis
1643,Sikonge,TZ,86.99,scattered clouds,-5.6333,32.7667,Pretoria 2 Lodge
1645,Neka,IR,83.71,broken clouds,36.6508,53.299,گالری گل وندا
1648,Melilla,ES,84.4,clear sky,35.2937,-2.9383,Hotel Anfora
1652,Badou,TG,79.41,overcast clouds,7.5833,0.6,Hôtel Abuta
1653,Kumluca,TR,78.46,light rain,36.3703,30.2869,Akkol Apart
1655,Kompaniyivka,UA,76.77,light rain,48.2511,32.208,
1659,Ferrol,ES,86.72,clear sky,43.4832,-8.2369,Hotel Spa Sercotel Odeón
1662,Gilgit,PK,86.36,scattered clouds,35.9221,74.3087,Tourist Hamlet Gilgit
1664,Adzope,CI,81.41,broken clouds,6.1069,-3.8619,Hôtel AKL
1673,Mpika,ZM,75.2,clear sky,-11.8343,31.4529,Melodies Lodge
1675,Lafia,NG,86.07,broken clouds,8.4833,8.5167,Low Cost Housing Estate
1679,Herrin,US,82.0,clear sky,37.8031,-89.0276,Mary's Restaurant
1680,San Pedro,PH,87.03,thunderstorm with light rain,14.35,121.0167,Esquivel's Garden And Resort
1682,Portoferraio,IT,84.69,clear sky,42.8115,10.3146,Hotel Villa Ombrosa
1687,Fort-Shevchenko,KZ,84.0,clear sky,44.5086,50.263,Oasis hotel Bautino
1688,Tortoli,IT,87.62,clear sky,39.9256,9.6572,Hotel La Bitta
1690,Mainaguri,IN,86.02,moderate rain,26.5667,88.8167,Suncity Resort Lataguri
1692,Candolim,IN,80.6,broken clouds,15.5181,73.7626,Resort Terra Paraiso
1693,Tigzirt,DZ,87.26,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
1695,Bangassou,CF,87.31,overcast clouds,4.7413,22.8184,
1696,Ushtobe,KZ,89.08,scattered clouds,45.2514,77.9838,Filipin Squad
