City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Geraldton,AU,2022-06-12 06:20:49,-28.7667,114.6,70.21,68,75,21.85
138,Badulla,LK,2022-06-12 06:20:50,6.9895,81.0557,84.04,51,100,2.57
139,Makat,KZ,2022-06-12 06:21:50,47.6469,53.3463,83.84,37,53,4.9
140,Yar-Sale,RU,2022-06-12 06:21:51,66.8333,70.8333,64.98,69,100,14.74
141,Barkhera,IN,2022-06-12 06:21:51,28.45,79.8,109.2,13,1,6.42
142,Kamina,CD,2022-06-12 06:21:51,-8.7386,24.9906,64.4,59,2,6.71
143,Matara,LK,2022-06-12 06:21:52,5.9485,80.5353,82.78,77,100,10.89
144,Tasiilaq,GL,2022-06-12 06:21:52,65.6145,-37.6368,39.36,76,80,4.94
145,Muli,MV,2022-06-12 06:21:52,2.9167,73.5667,84.06,70,100,11.61
146,Kruisfontein,ZA,2022-06-12 06:21:52,-34.0033,24.7314,68.88,23,71,20.2
147,Kasungu,MW,2022-06-12 06:21:53,-13.0333,33.4833,60.62,62,0,4.74
148,Ayorou,NE,2022-06-12 06:21:53,14.7308,0.9174,85.64,49,86,4.56
149,Kongolo,CD,2022-06-12 06:21:53,-5.3833,27.0,74.07,55,59,6.55
150,Lagoa,PT,2022-06-12 06:21:54,39.05,-27.9833,61.11,75,27,18.61
151,Itarema,BR,2022-06-12 06:21:54,-2.9248,-39.9167,73.94,90,66,6.98
152,Port-Gentil,GA,2022-06-12 06:21:54,-0.7193,8.7815,76.96,94,100,2.3
153,Korla,CN,2022-06-12 06:21:55,41.7597,86.1469,93.81,10,10,7.94
154,Kanker,IN,2022-06-12 06:21:55,20.2719,81.4931,99.34,31,45,9.22
155,Bandarbeyla,SO,2022-06-12 06:21:55,9.4942,50.8122,88.05,51,76,29.42
156,Araouane,ML,2022-06-12 06:21:55,18.9048,-3.5265,83.39,41,33,8.7
157,Sergeyevka,KZ,2022-06-12 06:21:56,53.88,67.4158,69.1,53,20,15.84
158,Montevideo,UY,2022-06-12 06:21:56,-34.8335,-56.1674,49.51,75,0,4.0
159,Kashan,IR,2022-06-12 06:21:56,33.9831,51.4364,83.52,24,0,10.31
160,Ilulissat,GL,2022-06-12 06:21:57,69.2167,-51.1,35.62,87,100,9.22
161,Gumdag,TM,2022-06-12 06:21:57,39.2061,54.5906,83.46,32,2,8.46
162,Rampur,IN,2022-06-12 06:21:57,28.8167,79.0333,95.5,13,1,4.94
163,Lima,PE,2022-06-12 06:21:38,-12.0432,-77.0282,60.91,86,100,10.36
164,Chilca,PE,2022-06-12 06:21:58,-12.5211,-76.7372,61.39,87,30,4.99
165,Coari,BR,2022-06-12 06:21:58,-4.085,-63.1414,70.25,92,100,2.26
166,Visnes,NO,2022-06-12 06:21:58,59.3556,5.2242,53.82,94,75,17.27
167,Cidreira,BR,2022-06-12 06:21:58,-30.1811,-50.2056,46.47,67,0,21.45
168,Itupiranga,BR,2022-06-12 06:21:59,-5.1347,-49.3267,75.52,97,97,1.7
169,Grindavik,IS,2022-06-12 06:21:59,63.8424,-22.4338,48.67,87,100,5.75
170,Salalah,OM,2022-06-12 06:21:59,17.0151,54.0924,91.49,70,0,11.5
171,Cecina,IT,2022-06-12 06:22:00,43.3128,10.524,79.34,54,1,4.83
172,Victoria,HK,2022-06-12 06:20:02,22.2855,114.1577,89.96,84,100,17.0
173,Soyo,AO,2022-06-12 06:22:00,-6.1349,12.3689,72.72,91,8,6.15
174,Manturovo,RU,2022-06-12 06:22:00,58.3353,44.7619,58.51,42,1,9.04
175,Longyearbyen,SJ,2022-06-12 06:22:01,78.2186,15.6401,37.24,81,75,1.14
176,Edgewater,US,2022-06-12 06:22:02,28.9889,-80.9023,75.43,90,99,5.7
177,Lapao,BR,2022-06-12 06:22:03,-11.3833,-41.8319,67.62,69,63,6.6
