City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Tessalit,ML,20.1986,1.0114,100.69,14,89,11.83,overcast clouds
203,Bronnoysund,NO,65.4625,12.1997,50.0,93,75,11.99,broken clouds
204,Peniche,PT,39.3558,-9.3811,69.13,81,100,4.32,overcast clouds
205,Touros,BR,-5.1989,-35.4608,72.37,85,2,8.57,clear sky
206,Mezhdurechensk,RU,53.6942,88.0603,82.74,42,68,2.91,broken clouds
207,Sayyan,YE,15.1718,44.3244,80.49,10,97,18.54,overcast clouds
208,Beira,MZ,-19.8436,34.8389,74.5,65,0,5.91,clear sky
209,Atasu,KZ,48.6814,71.6433,78.33,17,1,14.05,clear sky
210,Ancud,CL,-41.8697,-73.8203,49.23,94,91,6.91,light rain
211,Santa Isabel,BR,-23.3156,-46.2214,51.1,97,63,3.27,broken clouds
212,Bayir,TR,37.2687,28.2167,84.72,39,23,6.67,few clouds
213,Kholm,RU,59.2667,32.85,70.02,41,100,5.21,overcast clouds
214,Joensuu,FI,62.6012,29.7632,61.29,72,40,5.75,scattered clouds
215,Berlin,DE,52.5244,13.4105,66.18,56,40,13.8,scattered clouds
216,Bud,US,39.447,-86.1758,81.36,83,98,8.61,overcast clouds
217,Mao,ES,39.8885,4.2658,84.76,26,0,6.91,clear sky
218,Dakoro,NE,14.5106,6.765,93.25,37,55,17.18,broken clouds
219,Paita,PE,-5.0892,-81.1144,62.47,81,25,10.87,scattered clouds
220,Miquelon,PM,47.0975,-56.3814,44.6,93,100,13.71,overcast clouds
221,Amot,NO,59.5714,7.9877,59.43,48,20,4.79,few clouds
222,Najran,SA,17.4924,44.1277,97.45,9,100,10.22,overcast clouds
223,Taltal,CL,-25.4,-70.4833,54.1,79,26,1.61,scattered clouds
224,Macaravita,CO,6.5057,-72.593,52.56,88,89,3.78,overcast clouds
225,Aksay,RU,47.26,39.87,84.42,32,97,1.01,overcast clouds
226,Stornoway,GB,58.2093,-6.3865,53.92,92,75,17.27,broken clouds
227,Mattru,SL,7.6244,-11.8332,75.9,90,100,3.09,overcast clouds
228,Kalemie,CD,-5.9475,29.1947,79.23,55,14,13.02,few clouds
229,Margate,GB,51.3813,1.3862,67.1,66,1,6.8,clear sky
230,Victoria,HK,22.2855,114.1577,79.97,91,100,1.99,heavy intensity rain
231,Beloha,MG,-25.1667,45.05,78.71,37,0,11.14,clear sky
232,Kozienice,PL,51.5829,21.5478,67.21,39,9,14.74,clear sky
233,Belem,BR,-1.4558,-48.5044,75.24,88,0,3.44,clear sky
234,Ibb,YE,13.9667,44.1833,87.26,14,48,10.2,scattered clouds
235,Rochegda,RU,62.8,43.25,74.07,30,5,5.01,clear sky
236,Muli,MV,2.9167,73.5667,83.86,73,91,10.29,overcast clouds
